City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
79,Sagua de Tanamo,31,CU,1579990701,68,20.58,-75.24,71.24,7.05
80,Tukrah,11,LY,1579990703,65,32.53,20.58,53.46,9.4
81,Kavieng,92,PG,1579990275,72,-2.57,150.8,83.55,8.93
82,Bilma,0,NE,1579990706,15,18.69,12.92,62.58,8.84
83,Bambous Virieux,75,MU,1579990067,83,-20.34,57.76,77,12.75
84,Chapais,100,CA,1579990709,95,49.78,-74.85,27.36,6.6
85,Muros,14,ES,1579990313,92,42.78,-9.06,51.01,1.99
86,Mayo,75,US,1579990713,75,38.89,-76.51,48.99,5.82
87,Chui,45,UY,1579990292,69,-33.7,-53.46,76.3,7.72
88,Sonqor,0,IR,1579990716,89,34.78,47.6,16.99,2.84
89,Daru,93,PG,1579990330,94,-9.08,143.21,75.72,2.44
90,Fare,0,PF,1579990719,76,-16.7,-151.02,82.06,11.74
91,Luderitz,0,NA,1579990287,91,-26.65,15.16,66.15,15.19
91,Faya,0,SA,1579990723,79,18.39,42.45,49.1,1.25
92,Tabas,0,IR,1579990724,55,33.6,56.92,42.84,3.98
92,Manzhouli,100,CN,1579990726,81,49.6,117.43,-3.84,3.78
93,Comodoro Rivadavia,0,AR,1579990501,60,-45.87,-67.5,66.25,4.32
94,Souillac,75,MU,1579990077,83,-20.52,57.52,77,12.75
95,Srednekolymsk,100,RU,1579990330,97,67.45,153.68,-27.18,5.3
96,Bodden Town,26,KY,1579990733,66,19.28,-81.25,80.01,8.01
97,Maturin,100,VE,1579990653,60,9.75,-63.18,85.19,6.2
98,Loandjili,40,CG,1579990736,83,-4.76,11.86,84.2,4.7
99,Batesville,61,US,1579990738,56,35.77,-91.64,53.01,1.99
100,Lufilufi,71,WS,1579990739,83,-13.87,-171.6,82,3
101,Mandiana,14,GN,1579990741,12,10.63,-8.68,76.66,3.51
102,Atuona,61,PF,1579990277,77,-9.8,-139.03,80.87,15.77
103,Hanting,100,CN,1579990744,73,36.77,119.21,31.46,5.77
104,Ostrovnoy,43,RU,1579990324,99,68.05,39.51,2.89,5.53
104,Sabha,99,LY,1579990748,20,27.04,14.43,60.21,8.86
105,Kasane,24,BW,1579990749,74,-17.82,25.15,70.74,5.97
106,Tiksi,0,RU,1579990334,70,71.69,128.87,-26.79,6.35
107,Tengushevo,100,RU,1579990745,83,54.77,42.72,27,12.86
108,Salalah,56,OM,1579990272,83,17.02,54.09,73,5.84
109,Hong Kong,100,HK,1579990260,93,22.29,114.16,62.01,1.01
109,South River,100,US,1579990757,96,40.45,-74.39,53.01,3
110,Hilo,52,US,1579990270,87,19.73,-155.09,78.01,1.01
111,Yelizovo,99,RU,1579990332,90,53.19,158.38,17.55,13.58
112,Norman Wells,100,CA,1579990308,92,65.28,-126.83,-18.09,9.44
113,Tual,89,ID,1579990619,68,-5.67,132.75,83.75,4.25
113,Tasiilaq,100,GL,1579990278,73,65.61,-37.64,26.6,12.75
114,Ratnagiri,34,IN,1579990768,58,16.98,73.3,68.52,1.74
115,Saint-Paul,100,RE,1579990176,98,-21.01,55.27,72,4.23
116,Tibagi,36,BR,1579990771,57,-24.51,-50.41,78.15,2.77
117,Buta,19,CD,1579990773,37,2.79,24.73,70.92,1.34
118,East London,0,ZA,1579990288,85,-33.02,27.91,77.31,0.51
119,Albany,90,US,1579990224,93,42.6,-73.97,41,3.65
120,Vlore,100,AL,1579990778,81,40.47,19.49,52.68,8.55
121,Broome,100,US,1579990316,100,42.25,-75.83,37.99,0.83
122,Tutoia,100,BR,1579990781,86,-2.76,-42.27,79.88,5.03
123,Zhezkazgan,89,KZ,1579990301,94,47.8,67.71,6.42,11.32
124,Cape Town,40,ZA,1579990145,88,-33.93,18.42,66,9.17
125,Omboue,20,GA,1579990082,92,-1.57,9.26,76.93,3.91
126,Mandan,100,US,1579990733,92,46.83,-100.89,45,3
127,Vaini,46,TO,1579990266,86,-21.2,-175.2,78.4,21.07
128,Kiryat Gat,0,IL,1579990075,25,31.61,34.76,46.99,2.3
129,San Borja,77,BO,1579990792,59,-14.82,-66.85,90.16,2.98
130,Togur,100,RU,1579990794,91,58.36,82.83,10.96,10.67
131,Guiong,1,PH,1579990796,95,6.42,122.03,73.6,2.95
132,Bilibino,100,RU,1579990797,88,68.05,166.44,-6.93,4.05
133,Mission Bend,100,US,1579990549,74,29.69,-95.66,64,3
134,Solok,91,ID,1579990801,96,-0.79,100.66,69.39,2.24
135,Kidal,99,ML,1579990802,10,18.44,1.41,73.35,7.45
136,Orange Cove,75,US,1579990804,63,36.62,-119.31,63,3.15
137,Castro,0,BR,1579990301,53,-24.79,-50.01,77.29,0.98
138,Pangnirtung,100,CA,1579990267,99,66.15,-65.71,-36.72,2.37
139,Acari,55,PE,1579990809,72,-15.43,-74.62,72.43,10.63
139,Tautira,63,PF,1579990810,66,-17.73,-149.15,87.01,13
140,Petropavlovsk-Kamchatsky,99,RU,1579990280,90,53.05,158.65,17.55,13.58
141,Los Llanos de Aridane,0,ES,1579990814,52,28.66,-17.92,60.01,4.34
142,Jardim,0,BR,1579990815,43,-21.48,-56.14,86.9,6.31
143,La Ronge,100,CA,1579990719,95,55.1,-105.28,26.37,4.85
144,Mahibadhoo,100,MV,1579990819,82,3.78,72.97,80.87,12.08
145,Taoudenni,62,ML,1579990284,14,22.68,-3.98,77.18,6.58
146,Kavaratti,77,IN,1579990276,66,10.57,72.64,81.25,3.42
147,Bereket,0,TM,1579990824,77,39.24,55.52,30.2,2.8
148,Huainan,100,CN,1579990825,95,32.63,117,37.38,10.6
149,Altay,55,CN,1579990827,54,47.87,88.12,12.52,5.26
149,Presidencia Roque Saenz Pena,0,AR,1579990829,28,-26.79,-60.44,92.97,2.46
150,Weatherford,21,US,1579990581,68,32.76,-97.8,63,3
151,Qasigiannguit,100,GL,1579990832,43,68.82,-51.19,10.4,11.41
152,Kikwit,68,CD,1579990834,72,-5.04,18.82,74.17,1.7
153,Constitucion,0,CL,1579990835,49,-35.33,-72.42,70.61,11.36
154,Waipawa,0,NZ,1579990837,79,-41.41,175.52,71.01,5.01
155,Saldanha,33,ZA,1579990274,77,-33.01,17.94,66.2,3.36
156,Cayenne,62,GF,1579990306,87,4.93,-52.33,78.08,6.93
156,Akropong,4,GH,1579990842,37,5.97,-0.09,74.57,1.79
